animal	hoko_id	uk_id	bcms	treatment	breed	sire	dam	dob	updated_pen	rfi_start_date	rfi_end_date	age_start_rfi	rfi_lwg	rfi_dmi	fcr	liveweight	ch4_g_day	ch4_g_kg_dmi	chosen_24	chosen_6	methane_emmit	vsplit	liver_group	ch4_dmi_binary
01	4400	UK561500104400	104400	treatment	Aberdeen Angus X	UK311688700046	UK561500103357	2020-03-15T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	480	3	13.821432589388802	4.607144196462934	752	275.8117383083963	18.35694326545093	TRUE	TRUE	Low	group2	liver group A	low
02	4403	UK561500404403	404403	control	Aberdeen Angus X	Protege 306	UK561500103630	2020-03-16T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	479	2	14.993422866706837	7.496711433353418	808	357.39617833298246	33.29142052452819	TRUE	TRUE	High	group1	liver group A	high
03	4405	UK561500604405	604405	treatment	Aberdeen Angus X	Protege 306	UK561500103840	2020-03-18T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	477	1.6714285714285717	12.10178878145357	7.2403864504423074	722	281.95106995963573	24.470564247289207	FALSE	FALSE	Mid	group1	NA	high
04	4407	UK561500104407	104407	control	Aberdeen Angus X	Protege 306	UK561500103182	2020-03-18T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	477	2.4857142857142858	13.091514668622926	5.266701303468993	768	251.58570721108129	22.22576944028475	FALSE	FALSE	Mid	NA	NA	low
05	4413	UK561500704413	704413	control	Luing	UK561834701637	UK561500102804	2020-03-18T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	477	1.3	10.742124680266636	8.263172830974334	664	252.954272057077	23.622180423828265	FALSE	FALSE	Mid	group2	NA	low
06	4418	UK561500504418	504418	control	Luing	UK562205100763	UK542011300221	2020-03-20T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	475	1.5809523809523809	11.8737441998449	7.510500849299485	676	246.96800262978547	23.2415766316316	TRUE	FALSE	Mid	group1	liver group B	low
07	4419	UK561500604419	604419	control	Aberdeen Angus X	UK561998302409	UK561500102832	2020-03-20T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	475	1.7142857142857142	11.113181304712976	6.482689094415904	692	214.26751303457036	20.70725861498308	FALSE	FALSE	Low	NA	NA	low
08	4422	UK561500204422	204422	control	Luing	UK561834701637	UK561500103574	2020-03-21T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	474	2.1142857142857143	12.449508918921698	5.888281245435938	714	278.2298650883256	25.75750597070928	TRUE	FALSE	Mid	group1	liver group C	high
09	4424	UK561500404424	404424	treatment	Aberdeen Angus X	UK561998302409	UK561500603957	2020-03-21T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	474	1.4428571428571428	11.939794509823308	8.275105105818135	678	231.3399473174814	22.29905643317782	FALSE	FALSE	Mid	group1	NA	low
10	4426	UK561500604426	604426	treatment	Luing	UK561834701637	UK561500502703	2020-03-22T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	473	1.8571428571428572	13.000742325449082	7.000399713703351	784	246.8657404579535	22.65840571899775	FALSE	FALSE	Mid	group1	NA	low
11	4432	UK561500504432	504432	treatment	Luing	UK561834701637	UK561500403640	2020-03-22T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	473	2.057142857142857	12.40510699783774	6.030260346171124	714	210.37718290326612	20.659432545254894	FALSE	FALSE	Low	group1	NA	low
12	4435	UK561500104435	104435	control	Aberdeen Angus X	UK561998302409	UK561500602060	2020-03-22T00:00:00Z	2	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	473	0.9761904761904762	10.090362180807444	10.336468575461284	678	194.5216097851389	23.53769308833442	FALSE	FALSE	Mid	group1	NA	low
13	4441	UK561500704441	704441	treatment	Luing	UK561834701637	UK560366405257	2020-03-21T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	474	2.4571428571428573	12.897013419944978	5.248784531372956	716	274.22306668512016	22.078891340817236	FALSE	FALSE	Mid	group2	NA	low
14	4446	UK561500504446	504446	control	Aberdeen Angus X	UK311688700046	UK561500602648	2020-03-23T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	472	1.6142857142857143	11.944717424191689	7.399382475162993	724	221.3627244505895	23.539912247981707	FALSE	FALSE	Mid	group2	NA	low
15	4452	UK561500404452	404452	treatment	Aberdeen Angus X	UK311688700046	UK561500703916	2020-03-24T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	471	1.6285714285714286	14.545550847814022	8.931478590762996	724	307.69344924452537	18.830146098913833	TRUE	FALSE	Low	group2	liver group B	low
16	4455	UK561500704455	704455	treatment	Luing	UK541236107419	UK542011600231	2020-03-25T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	470	1.4095238095238096	11.707841915061536	8.30623919649636	694	254.11863443935744	31.17932665205368	TRUE	FALSE	High	group2	liver group A	high
17	4456	UK561500104456	104456	treatment	Luing	UK561834701637	UK561500403549	2020-03-25T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	470	2.4	11.36812064393273	4.736716934971971	718	282.1486661653232	27.628803016012434	FALSE	FALSE	High	group2	NA	high
18	4458	UK561500304458	304458	treatment	Luing	UK562205100763	UK561500603180	2020-03-25T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	470	1.8285714285714283	10.48926610815744	5.7363174028986	674	204.25824530449836	20.426680642152185	FALSE	FALSE	Low	group1	NA	low
19	4459	UK561500404459	404459	treatment	Aberdeen Angus X	UK311688700046	UK561500603397	2020-03-25T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	470	2.628571428571429	13.510715109755123	5.139945965667711	738	238.1110942871916	22.328527742731627	FALSE	FALSE	Mid	group1	NA	low
20	4463	UK561500104463	104463	control	Luing	UK541236107419	UK542011500258	2020-03-26T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	469	1.1952380952380952	10.41324091273698	8.712273273604644	644	234.50188510690276	27.34950942303756	FALSE	FALSE	High	group1	NA	high
21	4467	UK561500504467	504467	treatment	Aberdeen Angus X	Protege 306	UK561500203169	2020-03-26T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	469	2.257142857142857	13.349204300701434	5.914204437019623	764	216.8540284338868	17.274927022877254	TRUE	FALSE	Low	group2	liver group A	low
22	4469	UK561500704469	704469	control	Luing	UK541236107419	UK560366605483	2020-03-26T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	469	2.0285714285714285	12.899764913221972	6.359039041729141	650	262.6784278943056	24.116800383804083	FALSE	FALSE	Mid	NA	NA	high
23	4474	UK561500504474	504474	treatment	Luing	UK562205100763	UK561500403836	2020-03-26T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	469	1.733333333333333	11.35632258327466	6.551724567273843	712	254.05740550065497	26.552658987876708	FALSE	FALSE	High	group2	NA	high
24	4477	UK561500104477	104477	control	Aberdeen Angus X	UK311688700046	UK561500203141	2020-03-26T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	469	1.276190476190476	10.476225486138818	8.208982657049074	678	211.1330745038471	24.35212270226873	FALSE	FALSE	Mid	group1	NA	high
25	4478	UK561500204478	204478	control	Luing	UK562205100763	UK560366504901	2020-03-27T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	468	1.6	11.00933535722435	6.880834598265218	664	223.79148318524904	21.67194153713868	TRUE	FALSE	Mid	group1	liver group A	low
26	4483	UK561500704483	704483	treatment	Aberdeen Angus X	UK561998302409	UK561500203428	2020-03-27T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	468	1.6095238095238096	11.029337602085	6.852547030881212	692	208.8191766993066	23.62535885635761	FALSE	FALSE	Mid	group2	NA	low
27	4484	UK561500104484	104484	control	Luing	UK561834701637	UK561500503564	2020-03-25T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	470	1.6666666666666667	13.07043312328248	7.842259873969488	682	263.337056866989	23.444164632438355	FALSE	FALSE	Mid	group1	NA	low
28	4488	UK561500504488	504488	control	Luing	UK561834701637	UK560366304885	2020-03-28T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	467	2.657142857142857	12.655922039961393	4.7629814128886965	712	191.75348072756705	21.093003080802117	TRUE	TRUE	Mid	group1	liver group C	low
29	4491	UK561500104491	104491	treatment	Luing	UK541236107419	UK561500203981	2020-03-28T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	467	1.3285714285714283	10.116863651083536	7.614843608342447	608	269.83522422525226	32.99425442784673	TRUE	FALSE	High	group1	liver group C	high
30	4492	UK561500204492	204492	control	Luing	UK562205100763	UK560366505314	2020-03-28T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	467	1.3523809523809525	10.884575712829244	8.048453872162467	662	218.09483647551664	26.037536221090168	FALSE	FALSE	High	group2	NA	high
31	4497	UK561500704497	704497	control	Luing	UK541236107419	UK560366205255	2020-03-29T00:00:00Z	2	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	466	1.7666666666666666	11.347553979174725	6.423143761797014	670	240.7140146737448	29.69208416210356	FALSE	FALSE	High	group2	NA	high
32	4500	UK561500304500	304500	treatment	Aberdeen Angus X	UK384042600294	UK561500302904	2020-03-29T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	466	1.6238095238095238	12.66064043300752	7.796875339975305	716	259.86485808611286	21.39711308413475	FALSE	FALSE	Mid	group1	NA	low
33	4501	UK561500404501	404501	treatment	Luing	UK561834701637	UK561500703986	2020-03-29T00:00:00Z	2	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	466	2.323809523809524	13.345696229449493	5.7430250167712975	732	289.05091803423494	21.801045092687033	FALSE	FALSE	Mid	group2	NA	low
34	4506	UK561500204506	204506	treatment	Luing	UK541236107419	UK561500102083	2020-03-30T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	465	2	11.955118931767664	5.977559465883832	674	251.68155144890852	24.83356905225624	FALSE	FALSE	Mid	group1	NA	high
35	4509	UK561500504509	504509	treatment	Luing	UK562205100763	UK560366605112	2020-03-30T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	465	2.1142857142857143	10.998251086439044	5.201875513856304	700	187.42624280350503	19.190269705969452	TRUE	FALSE	Low	group1	liver group C	low
36	4510	UK561500604510	604510	treatment	Aberdeen Angus X	Protege 306	UK561500203393	2020-03-30T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	465	2.2285714285714286	13.262661477065818	5.951194252529533	720	295.33064281996974	21.414589793332382	FALSE	FALSE	Mid	NA	NA	low
37	4520	UK561500204520	204520	treatment	Aberdeen Angus X	UK384042600294	UK561500403801	2020-03-31T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	464	2.0285714285714285	13.241922421911292	6.527708236153455	748	275.95834388621427	22.491442547715508	FALSE	FALSE	Mid	group2	NA	low
38	4521	UK561500304521	304521	control	Luing	UK562205100763	UK561500102881	2020-03-31T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	464	1.7714285714285714	11.449004032098014	6.463147437474685	728	244.9715720393462	24.53182742629085	FALSE	FALSE	Mid	group2	NA	high
39	4522	UK561500404522	404522	control	Luing	UK561834701637	UK561500103378	2020-03-31T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	464	1.4285714285714286	12.23367204492644	8.563570431448507	686	287.2731842198277	25.937379941237715	FALSE	FALSE	Mid	group1	NA	high
40	4526	UK561500104526	104526	treatment	Aberdeen Angus X	UK311688700046	UK561500602459	2020-04-01T00:00:00Z	5	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	463	1.9714285714285715	13.063004575544907	6.62616174121843	742	217.40316544402097	19.834000302560472	FALSE	FALSE	Low	group1	NA	low
41	4531	UK561500604531	604531	control	Luing	UK561834701637	UK560366204891	2020-04-02T00:00:00Z	6	2021-07-08T00:00:00Z	2021-08-05T00:00:00Z	462	2.7714285714285714	13.173370871774544	4.753278149609371	722	322.98116779381553	23.88179208406785	FALSE	FALSE	Mid	NA	NA	low
42	4532	UK561500704532	704532	control	Luing	UK561834701637	UK561500503963	2020-04-02T00:00:00Z	3	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	462	1.6714285714285717	11.083793549720772	6.631329474191914	682	193.37346776403987	30.114361691305604	TRUE	FALSE	High	group2	liver group C	high
43	4533	UK561500104533	104533	treatment	Aberdeen Angus X	UK384042600294	UK561500703664	2020-04-02T00:00:00Z	1	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	462	1.5285714285714285	11.075657651378958	7.245757342023618	684	221.73970797445483	25.26564915734842	TRUE	FALSE	Mid	group2	liver group C	high
44	4534	UK561500204534	204534	treatment	Luing	UK562205100763	UK582363700695	2020-04-02T00:00:00Z	2	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	462	1.1547619047619049	11.406285211866356	9.877607812337876	648	224.92360211466377	20.782587257973624	FALSE	FALSE	Low	group1	NA	low
45	4537	UK561500504537	504537	control	Aberdeen Angus X	Protege 306	UK561500402415	2020-04-04T00:00:00Z	4	2021-07-08T00:00:00Z	2021-09-02T00:00:00Z	460	1.5666666666666669	12.322068291855528	7.865149973524805	728	195.7395058352053	18.9355737143749	TRUE	FALSE	Low	group1	liver group C	low
